"Type","Journal","Jacr","nRefs","nSupRefs"
"Multidisciplinary","NATURE","Nature",46,0
"Multidisciplinary","NATURE","Nature",30,0
"Multidisciplinary","NATURE","Nature",57,0
"Multidisciplinary","NATURE","Nature",47,0
"Multidisciplinary","NATURE","Nature",33,3
"Multidisciplinary","NATURE","Nature",83,4
"Multidisciplinary","NATURE","Nature",63,13
"Multidisciplinary","NATURE","Nature",37,33
"Multidisciplinary","NATURE","Nature",27,34
"Multidisciplinary","NATURE","Nature",65,35
"Multidisciplinary","NATURE","Nature",90,239
"Multidisciplinary","NATURE","Nature",22,365
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",22,0
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",42,0
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",18,0
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",45,0
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",47,0
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",41,0
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",59,0
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",68,1
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",73,3
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",79,12
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",37,14
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",36,48
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",56,83
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",142,53
"FieldEcology","NEW PHYTOLOGIST","NewPhyt",54,23
"Ecology","OECOLOGIA","Oecol",56,0
"Ecology","OECOLOGIA","Oecol",36,0
"Ecology","OECOLOGIA","Oecol",103,0
"Ecology","OECOLOGIA","Oecol",40,0
"Ecology","OECOLOGIA","Oecol",40,0
"Ecology","OECOLOGIA","Oecol",43,0
"Ecology","OECOLOGIA","Oecol",39,0
"Ecology","OECOLOGIA","Oecol",37,0
"Ecology","OECOLOGIA","Oecol",64,0
"Ecology","OECOLOGIA","Oecol",59,0
"Ecology","OECOLOGIA","Oecol",61,0
"Ecology","OECOLOGIA","Oecol",50,0
"Ecology","OECOLOGIA","Oecol",35,0
"Ecology","OECOLOGIA","Oecol",46,14
"Ecology","OECOLOGIA","Oecol",55,3
"Ecology","OIKOS","Oikos",67,0
"Ecology","OIKOS","Oikos",46,0
"Ecology","OIKOS","Oikos",73,0
"Ecology","OIKOS","Oikos",51,0
"Ecology","OIKOS","Oikos",54,0
"Ecology","OIKOS","Oikos",51,0
"Ecology","OIKOS","Oikos",34,0
"Ecology","OIKOS","Oikos",52,0
"Ecology","OIKOS","Oikos",61,0
"Ecology","OIKOS","Oikos",69,0
"Ecology","OIKOS","Oikos",46,7
"Ecology","OIKOS","Oikos",45,13
"Ecology","OIKOS","Oikos",48,13
"Ecology","OIKOS","Oikos",56,0
"Ecology","OIKOS","Oikos",34,0
"FieldEcology","PLANT ECOLOGY","PlantEcol",34,0
"FieldEcology","PLANT ECOLOGY","PlantEcol",37,0
"FieldEcology","PLANT ECOLOGY","PlantEcol",56,0
"FieldEcology","PLANT ECOLOGY","PlantEcol",29,0
"FieldEcology","PLANT ECOLOGY","PlantEcol",45,0
"FieldEcology","PLANT ECOLOGY","PlantEcol",32,0
"FieldEcology","PLANT ECOLOGY","PlantEcol",31,0
"FieldEcology","PLANT ECOLOGY","PlantEcol",36,0
"FieldEcology","PLANT ECOLOGY","PlantEcol",35,0
"FieldEcology","PLANT ECOLOGY","PlantEcol",55,0
"FieldEcology","PLANT ECOLOGY","PlantEcol",40,0
"FieldEcology","PLANT ECOLOGY","PlantEcol",32,0
"FieldEcology","PLANT ECOLOGY","PlantEcol",63,1
"FieldEcology","PLANT ECOLOGY","PlantEcol",33,4
"FieldEcology","PLANT ECOLOGY","PlantEcol",105,34
"Multidisciplinary","PLOS ONE","PlosONE",13,0
"Multidisciplinary","PLOS ONE","PlosONE",39,0
"Multidisciplinary","PLOS ONE","PlosONE",74,0
"Multidisciplinary","PLOS ONE","PlosONE",72,0
"Multidisciplinary","PLOS ONE","PlosONE",41,0
"Multidisciplinary","PLOS ONE","PlosONE",21,0
"Multidisciplinary","PLOS ONE","PlosONE",33,0
"Multidisciplinary","PLOS ONE","PlosONE",52,0
"Multidisciplinary","PLOS ONE","PlosONE",53,0
"Multidisciplinary","PLOS ONE","PlosONE",84,0
"Multidisciplinary","PLOS ONE","PlosONE",78,0
"Multidisciplinary","PLOS ONE","PlosONE",43,0
"Multidisciplinary","PLOS ONE","PlosONE",96,0
"Multidisciplinary","PLOS ONE","PlosONE",44,5
"Multidisciplinary","PLOS ONE","PlosONE",89,33
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",54,0
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",64,0
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",42,0
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",41,0
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",13,0
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",45,0
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",48,0
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",47,5
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",51,5
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",41,7
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",26,18
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",28,26
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",38,39
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",61,72
"Multidisciplinary","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","PNAS",24,154
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",12,0
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",47,16
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",30,0
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",18,0
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",55,0
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",77,0
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",6,0
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",41,7
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",52,10
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",51,16
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",44,21
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",56,37
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",59,11
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",28,52
"Ecology","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","PRSB",48,3
"Multidisciplinary","SCIENCE","Science",76,0
"Multidisciplinary","SCIENCE","Science",91,0
"Multidisciplinary","SCIENCE","Science",29,31
"Multidisciplinary","SCIENCE","Science",58,23
"Multidisciplinary","SCIENCE","Science",22,38
"Multidisciplinary","SCIENCE","Science",22,40
"Multidisciplinary","SCIENCE","Science",32,79
"Multidisciplinary","SCIENCE","Science",29,79
"Multidisciplinary","SCIENCE","Science",20,53
"Multidisciplinary","SCIENCE","Science",25,56
"Multidisciplinary","SCIENCE","Science",26,43
"Multidisciplinary","SCIENCE","Science",28,61
"Multidisciplinary","SCIENCE","Science",98,135
"Multidisciplinary","SCIENCE","Science",9,157
"Multidisciplinary","SCIENCE","Science",135,256
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",93,0
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",72,0
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",60,0
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",127,0
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",59,0
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",43,0
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",30,0
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",19,0
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",90,0
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",89,0
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",78,0
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",86,0
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",17,0
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",86,48
"Ecology","TRENDS IN ECOLOGY & EVOLUTION","TREE",59,86
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",40,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",55,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",17,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",29,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",33,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",35,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",11,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",44,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",15,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",36,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",37,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",68,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",39,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",29,0
"FieldEcology","WILDLIFE BIOLOGY","WildBiol",21,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",30,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",41,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",85,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",16,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",42,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",8,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",33,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",11,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",25,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",37,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",26,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",46,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",37,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",32,0
"FieldEcology","WILDLIFE RESEARCH","WildRes",27,0
